ISIB,instructions_image,IAPS_image,ISIA,stimClass,stimClassDesc
2,instructions/attend.png,stimuli/2032.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/2038.jpg,4,9,Attend_Neutral
2,instructions/attend.png,stimuli/9325.jpg,4,1,Attend_SD
2,instructions/reappraise.png,stimuli/6231.jpg,4,6,Reapp_ST
2,instructions/attend.png,stimuli/2377.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/7354.jpg,4,9,Attend_Neutral
2,instructions/reappraise.png,stimuli/3261.jpg,2,7,Reapp_OD
2,instructions/attend.png,stimuli/3500.jpg,2,4,Attend_OT
4,instructions/reappraise.png,stimuli/9301.jpg,4,5,Reapp_SD
2,instructions/attend.png,stimuli/2750.jpg,2,3,Attend_OD
2,instructions/reappraise.png,stimuli/9425.jpg,2,8,Reapp_OT
2,instructions/attend.png,stimuli/9428.jpg,4,4,Attend_OT
4,instructions/reappraise.png,stimuli/9452.jpg,4,8,Reapp_OT
4,instructions/attend.png,stimuli/2026.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/3150.jpg,4,3,Attend_OD
4,instructions/attend.png,stimuli/1525.jpg,2,2,Attend_ST
2,instructions/attend.png,stimuli/2480.jpg,2,9,Attend_Neutral
2,instructions/attend.png,stimuli/2512.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/6242.jpg,4,2,Attend_ST
4,instructions/reappraise.png,stimuli/9326.jpg,2,5,Reapp_SD
2,instructions/attend.png,stimuli/9321.jpg,2,1,Attend_SD
4,instructions/reappraise.png,stimuli/6300.jpg,4,6,Reapp_ST
4,instructions/attend.png,stimuli/2595.jpg,2,9,Attend_Neutral
4,instructions/reappraise.png,stimuli/3059.jpg,4,7,Reapp_OD
