ISIB,instructions_image,IAPS_image,ISIA,stimClass,stimClassDesc
2,instructions/attend.png,stimuli/2107.jpg,4,9,Attend_Neutral
4,instructions/reappraise.png,stimuli/7380.jpg,4,1,Reapp_SD
4,instructions/reappraise.png,stimuli/9426.jpg,2,4,Reapp_OT
2,instructions/attend.png,stimuli/9183.jpg,2,7,Attend_OD
2,instructions/reappraise.png,stimuli/3030.jpg,4,3,Reapp_OD
4,instructions/reappraise.png,stimuli/9419.jpg,2,4,Reapp_OT
2,instructions/attend.png,stimuli/9163.jpg,2,8,Attend_OT
2,instructions/attend.png,stimuli/2570.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/6243.jpg,2,6,Attend_ST
4,instructions/attend.png,stimuli/2446.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2200.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2688.jpg,2,8,Attend_OT
2,instructions/attend.png,stimuli/2393.jpg,4,9,Attend_Neutral
2,instructions/attend.png,stimuli/2190.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/9330.jpg,2,5,Attend_SD
2,instructions/reappraise.png,stimuli/6263.jpg,2,2,Reapp_ST
4,instructions/attend.png,stimuli/2730.jpg,4,5,Attend_SD
2,instructions/attend.png,stimuli/2514.jpg,4,9,Attend_Neutral
2,instructions/reappraise.png,stimuli/6200.jpg,2,2,Reapp_ST
2,instructions/attend.png,stimuli/6370.jpg,4,6,Attend_ST
2,instructions/reappraise.png,stimuli/3069.jpg,4,3,Reapp_OD
4,instructions/attend.png,stimuli/9182.jpg,2,7,Attend_OD
4,instructions/attend.png,stimuli/2273.jpg,4,9,Attend_Neutral
4,instructions/reappraise.png,stimuli/9340.jpg,4,1,Reapp_SD
